0.00000000e+00,0.00000000e+00.1,0.00000000e+00.2,-1.35578944e-08
1.78658711e-07,2.44450753,1.78658711e-07,-0.11237722
1.78824e-07,2.46286341,1.78824e-07,-0.111545209
1.78998557e-07,2.44744356,1.78998557e-07,-0.111581454
1.79269028e-07,2.45484999,1.79269028e-07,-0.111208797
1.79586006e-07,2.44421644,1.79586006e-07,-0.111372457
1.80141201e-07,2.45224307,1.80141201e-07,-0.111177639
1.80681745e-07,2.44314326,1.80681745e-07,-0.11132003
1.81762833e-07,2.45044163,1.81762833e-07,-0.111107701
1.83803442e-07,2.44010327,1.83803442e-07,-0.111175657
1.8788466e-07,2.44423417,1.8788466e-07,-0.110828692
1.96047097e-07,2.42787132,1.96047097e-07,-0.110618139
2.12371969e-07,2.41973423,2.12371969e-07,-0.109715879
2.45021713e-07,2.37943488,2.45021713e-07,-0.108416203
3.05021713e-07,2.32919539,3.05021713e-07,-0.105600882
3.65021713e-07,2.26461477,3.65021713e-07,-0.103197222
4.25021713e-07,2.21684722,4.25021713e-07,-0.100494543
4.85021713e-07,2.15514398,4.85021713e-07,-0.0982213743
4.93e-07,2.15549105,4.93e-07,-0.0977063925
4.9325e-07,2.15159651,4.9325e-07,-0.0977972361
4.9375e-07,2.15105109,4.9375e-07,-0.0977736713
4.94292749e-07,2.15066767,4.94292749e-07,-0.0977697206
4.94336127e-07,2.1505828,4.94336127e-07,-0.0977658645
4.94422882e-07,2.15049842,4.94422882e-07,-0.0977580599
4.9453963e-07,2.15039358,4.9453963e-07,-0.098180619
4.94681286e-07,2.15027296,4.94681286e-07,-0.0989132871
4.94837105e-07,2.15059438,4.94837105e-07,-0.100881643
4.95007779e-07,2.1435245,4.95007779e-07,-0.132432394
4.95151175e-07,2.11144488,4.95151175e-07,-0.222421216
4.95296329e-07,1.97626327,4.95296329e-07,-0.296193005
4.9541184e-07,1.49176962,4.9541184e-07,-0.272241568
4.955e-07,1.43078815,4.955e-07,-0.201223288
4.95511319e-07,1.44531529,4.95511319e-07,-0.190948766
4.95533958e-07,1.45849523,4.95533958e-07,-0.170844522
4.95579235e-07,1.46532814,4.95579235e-07,-0.135729
4.95669789e-07,1.48071387,4.95669789e-07,-0.0925717666
4.95844706e-07,1.48580445,4.95844706e-07,-0.0679184546
4.96005282e-07,1.48742667,4.96005282e-07,-0.0678194337
4.96270008e-07,1.485693,4.96270008e-07,-0.0674988626
4.96645944e-07,1.48690386,4.96645944e-07,-0.067588564
4.97397816e-07,1.48507293,4.97397816e-07,-0.0674723853
4.9890156e-07,1.48548766,4.9890156e-07,-0.0675231668
5e-07,1.48351185,5e-07,-0.0674023422
5.00160674e-07,1.48402519,5.00160674e-07,-0.0674492229
5.00482021e-07,1.48388035,5.00482021e-07,-0.0674334456
5.01124717e-07,1.48343959,5.01124717e-07,-0.0674261159
5.01285391e-07,1.48336286,5.01285391e-07,-0.0674305051
5.01606738e-07,1.48316291,5.01606738e-07,-0.0680129212
5.01842847e-07,1.48332277,5.01842847e-07,-0.0702368158
5.02089102e-07,1.4690524,5.02089102e-07,-0.139056935
5.02268498e-07,1.70676785,5.02268498e-07,-0.262972603
5.02396986e-07,3.85399607,5.02396986e-07,-0.441753417
5.025e-07,4.78197994,5.025e-07,-0.472408314
5.02512205e-07,4.7581782,5.02512205e-07,-0.46661544
5.02536614e-07,4.74341033,5.02536614e-07,-0.457414053
5.02585433e-07,4.76859952,5.02585433e-07,-0.446272964
5.02683071e-07,4.79960045,5.02683071e-07,-0.415209075
5.02820464e-07,4.84074774,5.02820464e-07,-0.340111345
5.03056002e-07,4.88042374,5.03056002e-07,-0.248695525
5.03353568e-07,4.89074557,5.03353568e-07,-0.222679979
5.03694585e-07,4.89068388,5.03694585e-07,-0.222187003
5.04048538e-07,4.89078341,5.04048538e-07,-0.22240107
5.04756446e-07,4.89068619,5.04756446e-07,-0.222213653
5.06172261e-07,4.89078104,5.06172261e-07,-0.22239767
5.0900389e-07,4.89068739,5.0900389e-07,-0.222214942
5.1466715e-07,4.89078044,5.1466715e-07,-0.222397082
5.25993669e-07,4.89068769,5.25993669e-07,-0.222215229
5.48646706e-07,4.89078029,5.48646706e-07,-0.222396939
5.93952782e-07,4.89068784,5.93952782e-07,-0.2222153
6.53952782e-07,4.89078029,6.53952782e-07,-0.222396904
6.57e-07,4.89068816,6.57e-07,-0.222215648
6.5725e-07,4.89073294,6.5725e-07,-0.222283907
