0.00000000e+00,0.00000000e+00.1,0.00000000e+00.2,-1.12584075e-08
1e-10,1.83069266,1e-10,-0.0490789756
1.04457632e-10,1.86625459,1.04457632e-10,-0.0414098196
1.13372896e-10,1.89885338,1.13372896e-10,-0.0400552608
1.31203424e-10,1.86218939,1.31203424e-10,-0.033284225
1.6686447900000001e-10,1.79488588,1.6686447900000001e-10,-0.00311055572
2.1017924e-10,1.79069261,2.1017924e-10,0.0007442522010000001
2.96808761e-10,1.79224575,2.96808761e-10,-0.000276091412
4.06186988e-10,1.79108563,4.06186988e-10,3.97343075e-06
6.24943441e-10,1.79167095,6.24943441e-10,7.32846545e-05
1.06245635e-09,1.79060071,1.06245635e-09,-0.000132446731
1.9374821600000003e-09,1.79044649,1.9374821600000003e-09,0.000134036373
3.6875337899999997e-09,1.78826974,3.6875337899999997e-09,-0.000161097858
7.18763705e-09,1.78573737,7.18763705e-09,0.000148003876
1e-08,1.78263269,1e-08,-0.00017132263299999998
1.025e-08,1.77974885,1.025e-08,0.00836432829
1.075e-08,3.31987202,1.075e-08,-0.242562372
1.11175087e-08,4.75253194,1.11175087e-08,-0.256076843
1.15028477e-08,4.83034222,1.15028477e-08,-0.278806724
1.18648677e-08,4.83585002,1.18648677e-08,-0.258383388
1.2330191e-08,4.86085789,1.2330191e-08,-0.280989733
1.25e-08,4.85568648,1.25e-08,-0.25843325699999997
1.25930647e-08,4.86633538,1.25930647e-08,-0.271058347
1.2779194e-08,4.86800462,1.2779194e-08,-0.26985119399999996
1.31389312e-08,4.86654681,1.31389312e-08,-0.27090637
1.38584056e-08,4.86791389,1.38584056e-08,-0.2699209
1.52973545e-08,4.8665904,1.52973545e-08,-0.2708734
1.81752523e-08,4.86789151,1.81752523e-08,-0.269936852
2.39310477e-08,4.86660086,2.39310477e-08,-0.270865504
3.54426387e-08,4.86788604,3.54426387e-08,-0.269940757
5.84658206e-08,4.86660345,5.84658206e-08,-0.270863549
1.04512184e-07,4.86788468,1.04512184e-07,-0.269941731
1.6451218400000002e-07,4.86660298,1.6451218400000002e-07,-0.270862906
1.66e-07,4.86786817,1.66e-07,-0.26995173699999997
1.6620299100000002e-07,4.87152709,1.6620299100000002e-07,-0.270620117
1.6660897199999998e-07,4.86285754,1.6660897199999998e-07,-0.27018092
1.67420935e-07,4.80211539,1.67420935e-07,-0.266775162
1.6820129600000003e-07,2.31982465,1.6820129600000003e-07,-0.129403778
1.685e-07,1.79168548,1.685e-07,-0.0993339774
1.68574208e-07,1.79975451,1.68574208e-07,-0.09995353130000001
1.6872262399999998e-07,1.80149615,1.6872262399999998e-07,-0.10009760300000001
1.69019456e-07,1.79968779,1.69019456e-07,-0.0999599304
1.6961311999999998e-07,1.80054303,1.6961311999999998e-07,-0.10004048900000001
1.70800449e-07,1.79814953,1.70800449e-07,-0.09987636849999999
